School,District,Score,Avg. Score
Langley Fundamental,Langley,7.1,7.4
Carisbrooke,North Vancouver,7.1,7.3
Fort Langley,Fort Langley,7.1,7.2
Unsworth,Chilliwack,7.1,7.2
Mountain,Abbotsford,7.1,7
Valley View,Courtenay,7.1,7
Torquay,Victoria,7.1,6.9
Eagle View,Victoria,7.1,6.8
Ray Shepherd,Surrey,7.1,6.8
Chaffey-Burke,Burnaby,7.1,6.7
Assumption,Powell River,7.1,6.5
David Lloyd George,Vancouver,7.1,6.5
Panorama Park,Surrey,7.1,5.8
Mt Lehman,Abbotsford,7.1,n/a
St Mary's,Cranbrook,7.1,n/a
Gordon Greenwood,Langley,7,7.8
Regent Christian,Surrey,7,7.6
Kerrisdale,Vancouver,7,7.2
Walnut Road,Surrey,7,7.2
Jules Quesnel,Vancouver,7,7.1
Aberdeen,Kamloops,7,6.9
Glenayre,Port Moody,7,6.7
McLeod Road,Surrey,7,6.7
Hamilton,Richmond,7,6.6
University Hill,Vancouver,7,6.6
David Oppenheimer,Vancouver,7,6.4
Colebrook,Surrey,7,6.3
Quilchena,Vancouver,7,6.3
Southridge,Prince George,7,6.3
Dr H N MacCorkindale,Vancouver,7,5.4
Daniel Woodward,Richmond,7,n/a
St Joseph,Nelson,7,n/a
Spul'u'kwuks,Richmond,6.9,8.1
Sandy Hill,Abbotsford,6.9,7.6
Taylor Park,Burnaby,6.9,7.6
McGowan Park,Kamloops,6.9,7.3
Lochside,Victoria,6.9,7.2
Ocean Cliff,Surrey,6.9,7.2
Cordova Bay,Victoria,6.9,7
James Kennedy,Langley,6.9,7
Richard McBride,New Westminster,6.9,7
Riverview Park,Coquitlam,6.9,7
Bert Ambrose,Fort St John,6.9,6.9
Cameron,Burnaby,6.9,6.8
Lakeview,Burnaby,6.9,6.8
Trafalgar,Vancouver,6.9,6.7
Willoughby,Langley,6.9,6.7
Blakeburn,Port Coquitlam,6.9,6.5
Bramblewood,Coquitlam,6.9,6.5
Carnarvon,Vancouver,6.9,6.4
Peace Arch,White Rock,6.9,6.4
Coyote Creek,Surrey,6.9,6.1
J Alfred Laird,Invermere,6.9,6.1
CHEK ABC,Nelson,6.9,n/a
Edgewater,Edgewater,6.9,n/a
Uplands,Terrace,6.9,n/a
Spring Creek,Whistler,6.8,7.6
R.C. Garnett,Langley,6.8,7.2
Erma Stephenson,Surrey,6.8,7
Pinewood,Delta,6.8,7
Westwind,Richmond,6.8,7
Dave Kandal,Abbotsford,6.8,6.7
Cambridge,Surrey,6.8,6.4
Randerson Ridge,Nanaimo,6.8,6.4
Edith Cavell,Vancouver,6.8,6.3
South Meridian,Surrey,6.8,6.2
Walnut Park,Smithers,6.8,6.1
Vedder,Chilliwack,6.8,5.8
Nanoose Bay,Nanoose Bay,6.8,5.7
Bulkley Valley Christian,Smithers,6.8,n/a
Davis Bay,Sechelt,6.8,n/a
Rossland,Rossland,6.8,n/a
Sir Sandford Fleming,Vancouver,6.8,n/a
Promontory Heights,Chilliwack,6.7,7.3
B X,Vernon,6.7,7.2
Shaughnessy,Vancouver,6.7,7.2
St Patrick's,Vancouver,6.7,7.2
Aubrey,Burnaby,6.7,7.1
Beairsto,Vernon,6.7,7.1
Uplands,Penticton,6.7,6.9
Garibaldi Highlands,Garibaldi Highlands,6.7,6.8
Pacific Way,Kamloops,6.7,6.8
Mountain Meadows,Port Moody,6.7,6.6
Lady Grey,Golden,6.7,6.4
Sunshine Hills,Delta,6.7,6.3
Chalmers,Delta,6.7,6.2
Kitchener,Burnaby,6.7,6.2
Lord Tweedsmuir,New Westminster,6.7,6
Silverthorne,Houston,6.7,5.6
Nootka,Vancouver,6.7,5.5
Kootenay Orchards,Cranbrook,6.7,5.2
Kootenay Christian,Cranbrook,6.7,n/a
Lavington,Vernon,6.7,n/a
Mormon Hills,Lister,6.7,n/a
ASIA - North Poplar,Abbotsford,6.6,7.2
Cedars Christian,Prince George,6.6,7
Clinton,Burnaby,6.6,7
Rose-Des-Vents,Vancouver,6.6,7
Gibsons,Gibsons,6.6,6.9
Brooklyn,Comox,6.6,6.8
Tomsett,Richmond,6.6,6.6
Dr George M Weir,Vancouver,6.6,6.5
James Hill,Langley,6.6,6.5
Doncaster,Victoria,6.6,6.4
Noel Booth,Langley,6.6,6.4
Kathleen McNeely,Richmond,6.6,6.2
Queensbury,North Vancouver,6.6,6.2
Maple Bay,Duncan,6.6,6
Queen Elizabeth,New Westminster,6.6,5.9
Cobble Hill,Cobble Hill,6.6,5.1
Connaught Heights,New Westminster,6.6,n/a
F W Howay,New Westminster,6.6,n/a
Forest Grove,Burnaby,6.6,n/a
Canyon Heights,North Vancouver,6.5,7.9
Garden City,Richmond,6.5,7.1
Sir Wilfrid Laurier,Vancouver,6.5,7
Boundary,North Vancouver,6.5,6.7
Heritage Mountain,Port Moody,6.5,6.7
South Slope,Burnaby,6.5,6.7
Eagle Ridge,Coquitlam,6.5,6.6
Merritt Bench,Merritt,6.5,6.6
Cascade Heights,Burnaby,6.5,6.5
Cheam,Chilliwack,6.5,6.5
Keating,Victoria,6.5,6.5
Kingswood,Richmond,6.5,6.5
Cloverdale Traditional,Surrey,6.5,6.3
James Gilmore,Richmond,6.5,6.3
Robb Road,Comox,6.5,5.9
Pleasantside,Port Moody,6.5,5.7
Beaverly,Prince George,6.5,5.3
Nakusp,Nakusp,6.5,n/a
Maple Lane,Richmond,6.4,7.5
Coldstream,Coldstream,6.4,7.2
Valleycliffe,Squamish,6.4,7.2
R C MacDonald,Coquitlam,6.4,7.1
West Langley,Langley,6.4,7.1
Beach Grove,Delta,6.4,7
Wiltse,Penticton,6.4,7
Alfred B Dixon,Richmond,6.4,6.9
Elsie Roy,Vancouver,6.4,6.7
Tuc-El-Nuit,Oliver,6.4,6.7
Hillcrest,Victoria,6.4,6.4
Langley Meadows,Langley,6.4,6.4
Margaret Jenkins,Victoria,6.4,6.4
Mile 108,108 Mile Ranch,6.4,6.4
Central - Arts,Fort St John,6.4,6.2
Gray,Delta,6.4,6.2
Lochdale,Burnaby,6.4,6.1
Eastview,North Vancouver,6.4,6
Porter Street,Coquitlam,6.4,6
A H P Matthew,Surrey,6.4,5.8
Lord Byng,Richmond,6.4,5.8
Stoney Creek,Burnaby,6.4,5.7
Lord Tennyson,Vancouver,6.4,5.3
Royal Heights,Surrey,6.4,4.8
Mount Prevost,Duncan,6.4,n/a
Sacred Heart,Prince George,6.4,n/a
Zion Lutheran,Surrey,6.4,n/a
Walter Lee,Richmond,6.3,7.4
McMillan,Abbotsford,6.3,7.2
South Sa-Hali,Kamloops,6.3,7.1
Cove Cliff,North Vancouver,6.3,6.9
